Ref_ID,Cross_Ref_ID,Title,Authors,Year,Journal,Volume,Start_page,End_page,PubMed,Comment,Tissue_processing,Start_material,Prescreening,Material_sequenced,exon2,exon3,exon4,exon5,exon6,exon7,exon8,exon9,exon10,exon11,Exclude_analysis,WGS_WXS
1316,,p53 mutations and codon 213 polymorphism of p53 in lung cancers of former uranium miners,Popp W;Vahrenholz C;Schuster H;Wiesner B;Bauer P;Tauscher F;Plogmann H;Morgenroth K;Konietzko N;Norpoth K;,1999,J Cancer Res Clin Oncol,125,309,312,0010359137,,frozen/fixed,DNA,,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No
1317,,Discordance of p53 mutations of synchronous colorectal carcinomas,Eguchi K;Yao T;Konomoto T;Hayashi K;Fujishima M;Tsuneyoshi M;,2000,Mod Pathol,13,131,139,0010697269,,fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1318,,p53 gene status as a predictor of tumor response to induction chemotherapy of patients with locoregionally advanced squamous cell carcinomas of the head and neck,Temam S;Flahault A;Perie S;Monceaux G;Coulet F;Callard P;Bernaudin JF;St Guily JL;Fouret P;,2000,J Clin Oncol,18,385,394,0010637254,,fixed,DNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1319,,p53 alterations predict tumor response to neoadjuvant chemotherapy in head and neck squamous cell carcinoma: a prospective series,Cabelguenne A;Blons H;de W;Carnot F;Houllier AM;Soussi T;Brasnu D;Beaune P;Laccourreye O;Laurent-Puig P;,2000,J Clin Oncol,18,1465,1473,0010735894,Add info from Beaune,frozen,DNA,DGGE,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1320,,The role of p53 in megakaryocyte differentiation and the megakaryocytic leukemias of Down syndrome,Malkin D;Brown EJ;Zipursky A;,2000,Cancer Genet Cytogenet,116,1,5,0010616523,,fresh,DNA,SSCP,cloned,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1321,,Molecular alterations involving p53 codons 167 and 183 in papillary thyroid carcinomas from chernobyl-contaminated regions of belarus,Pisarchik AV;Ermak G;Kartel NA;Figge J;,2000,Thyroid,10,25,30,0010691310,,frozen,DNA,,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,No
1322,,p53 abnormalities in adenocarcinoma of the gastric cardia and antrum,Flejou JF;Gratio V;Muzeau F;Hamelin R;,1999,Mol Pathol,52,263,268,0010748875,,frozen,DNA,DGGE,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1323,,Clinical significance of p53 mutations in adenocarcinoma of the esophagus and cardia,Ireland AP;Shibata DK;Chandrasoma P;Lord RV;Peters JH;DeMeester TR;,2000,Ann Surg,231,179,187,0010674608,,fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1324,1324,"Mutations of p53 tumor suppressor gene, apoptosis, and proliferation in intrahepatic cholangiocellular carcinoma of the liver",Tannapfel A;Weinans L;Geissler F;Schutz A;Katalinic A;Kockerling F;Hauss J;Wittekind C;,2000,Dig Dis Sci,45,317,324,0010711445,See ref 1750,,DNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1325,,TP53 mutations and mdm2 protein overexpression in cholangiocarcinomas,Della TG;Pasquini G;Pilotti S;Alasio L;Civelli E;Cozzi G;Milella M;Salvetti M;Pierotti MA;Severini A;,2000,Diagn Mol Pathol,9,41,46,0010718212,,fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1326,,Staining patterns of p53 immunohistochemistry and their biological significance in colorectal cancer,Kaserer K;Schmaus J;Bethge U;Migschitz B;Fasching S;Walch A;Herbst F;Teleky B;Wrba F;,2000,J Pathol,190,450,456,0010699994,,frozen,DNA,SSCP/IHC,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1327,,p53 gene mutations in sequential oral epithelial dysplasias and squamous cell carcinomas,Shahnavaz SA;Regezi JA;Bradley G;Dube ID;Jordan RC;,2000,J Pathol,190,417,422,0010699989,,fixed,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1328,,Genetic changes in sweat gland carcinomas,Takata M;Hashimoto K;Mehregan P;Lee MW;Yamamoto A;Mohri S;Ohara K;Takehara K;,2000,J Cutan Pathol,27,30,35,0010660129,,fixed,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
1329,,p53 inactivating mutations in chinese breast carcinomas,Gong ZY;Wong KW;Li Y;Mao YR;Lung ML;,2000,Oncol Rep,7,381,385,0010671690,,frozen,RNA,FASAY,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1331,,Vascular endothelial growth factor expression correlates with p53 mutation and angiogenesis in squamous cell carcinoma of the head and neck [In Process Citation],Riedel F;Gotte K;Schwalb J;Schafer C;Hormann K;,2000,Acta Otolaryngol,120,105,111,0010779196,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1332,,Expression and mutation patterns of p53 in benign and malignant salivary gland tumors,Nordkvist A;Roijer E;Bang G;Gustafsson H;Behrendt M;Ryd W;Thoresen S;Donath K;Stenman G;,2000,Int J Oncol,16,477,483,0010675478,,frozen,DNA,SSCP,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1333,,Establishment and characterization of seven human renal cell carcinoma cell lines,Shin KH;Ku JL;Kim WH;Lee SE;Lee C;Kim SW;Park JG;,2000,BJU Int,85,130,138,0010619961,,fresh,DNA,SSCP,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1335,554,Missense mutation of the hMSH6 and p53 genes in sporadic urothelial transitional cell carcinoma,Furihata M;Shuin T;Takeuchi T;Sonobe H;Ohtsuki Y;Akiyama Y;Yuasa Y;,2000,Int J Oncol,16,491,496,0010675480,See also ref 1697,frozen,DNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1336,1246,Alteration of a p53 gene status affects outcome of patients with recurrent ovarian cancer,Irie T;Kigawa J;Minagawa Y;Oishi T;Takahashi M;Shimada M;Kamazawa S;Sato S;Terakawa N;,2000,Oncology,58,237,241,0010765126,,frozen,DNA,SSCP,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1337,1179,The origins of multiple squamous cell carcinomas in the aerodigestive tract,van Oijen MG;Leppers vd Straat FG;Tilanus MG;Slootweg PJ;,2000,Cancer,88,884,893,0010679659,,frozen,RNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1338,,p53 mutation pattern in hepatocellular carcinoma in workers exposed to vinyl chloride,Weihrauch M;Lehnert G;Kockerling F;Wittekind C;Tannapfel A;,2000,Cancer,88,1030,1036,0010699891,,,DNA,none,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1339,,P53 tumor suppressor gene mutations in hepatocellular carcinoma patients in India,Katiyar S;Dash BC;Thakur V;Guptan RC;Sarin SK;Das BC;,2000,Cancer,88,1565,1573,10738214,,frozen,DNA,SSCP,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
1340,,BRCA1-related papillary serous carcinoma of the peritoneum has a unique molecular pathogenesis,Schorge JO;Muto MG;Lee SJ;Huang LW;Welch WR;Bell DA;Keung EZ;Berkowitz RS;Mok SC;,2000,Cancer Res,60,1361,1364,0010728699,,frozen/fixed,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
1341,,Detection of plasma tumor DNA in head and neck squamous cell carcinoma by microsatellite typing and p53 mutation analysis,Coulet F;Blons H;Cabelguenne A;Lecomte T;Lacourreye O;Brasnu D;Beaune P;Zucman J;Laurent-Puig P;,2000,Cancer Res,60,707,711,0010676657,,frozen,DNA,DGGE,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
