Ref_ID,Cross_Ref_ID,Title,Authors,Year,Journal,Volume,Start_page,End_page,PubMed,Comment,Tissue_processing,Start_material,Prescreening,Material_sequenced,exon2,exon3,exon4,exon5,exon6,exon7,exon8,exon9,exon10,exon11,Exclude_analysis,WGS_WXS
1,,Chromosome 17 deletions and p53 gene mutations in colorectal carcinomas,Baker SJ;Fearon ER;Nigro JM;Hamilton SR;Preisinger AC;Jessup JM;van Tuinen P;Ledbetter DH;Barker DF;Nakamura Y;,1989,Science,244,217,221,0002649981,Add info from J. Field,frozen,RNA,RFLP,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,No
2,,Genetic and immunochemical analysis of mutant p53 in human breast cancer cell lines,Bartek J;Iggo R;Gannon J;Lane DP;,1990,Oncogene,5,893,899,0001694291,,,RNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
3,,Selective G to T mutations of p53 gene in hepatocellular carcinoma from southern Africa,Bressac B;Kew M;Wands J;Ozturk M;,1991,Nature,350,429,431,0001672732,,,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
4,,p53 gene mutations in Barrett's epithelium and esophageal cancer,Casson AG;Mukhopadhyay T;Cleary KR;Ro JY;Levin B;Roth JA;,1991,Cancer Res,51,4495,4499,0001868473,,fixed,DNA,SSCP,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
5,5,p53 mutations in colorectal cancer,Rodrigues NR;Rowan A;Smith ME;Kerr IB;Bodmer WF;Gannon JV;Lane DP;,1990,Proc Natl Acad Sci U S A,87,7555,7559,0001699228,See ref 7,,RNA,Mismatch cleavage,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
6,6,Efficient screening of p53 mutations by denaturing gradient gel electrophoresis in colorectal tumors,Hamelin R;Jego N;Laurent-Puig P;Vidaud M;Thomas G;,1993,Oncogene,8,2213,2220,0008336944,"Mutations reported in ref 759, added info from Kovar H, 1993 (STA-ET-2.1)",,DNA,DGGE,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
7,7,Mutations in the p53 gene occur in diverse human tumour types,Nigro JM;Baker SJ;Preisinger AC;Jessup JM;Hostetter R;Cleary K;Bigner SH;Davidson N;Baylin S;Devilee P;,1989,Nature,342,705,708,0002531845,See ref 19,,RNA,none,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
8,,Aberrations of the tumor suppressor p53 and retinoblastoma genes in human hepatocellular carcinomas,Murakami Y;Hayashi K;Hirohashi S;Sekiya T;,1991,Cancer Res,51,5520,5525,0001655254,,frozen,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
9,9,Detection of aberrations of the p53 alleles and the gene transcript in human tumor cell lines by single-strand conformation polymorphism analysis,Murakami Y;Hayashi K;Sekiya T;,1991,Cancer Res,51,3356,3361,0002054775,Updated with ref 232,,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
10,,Mechanisms of p53 loss in human sarcomas,Mulligan LM;Matlashewski GJ;Scrable HJ;Cavenee WK;,1990,Proc Natl Acad Sci U S A,87,5863,5867,0002143022,,,RNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
11,,Chromosome 17p deletions and p53 gene mutations associated with the formation of malignant neurofibrosarcomas in von Recklinghausen neurofibromatosis,Menon AG;Anderson KM;Riccardi VM;Chung RY;Whaley JM;Yandell DW;Farmer GE;Freiman RN;Lee JK;Li FP;,1990,Proc Natl Acad Sci U S A,87,5435,5439,0002142531,,,DNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
12,,Detection of p53 gene mutations in human brain tumors by single-strand conformation polymorphism analysis of polymerase chain reaction products,Mashiyama S;Murakami Y;Yoshimoto T;Sekiya T;Hayashi K;,1991,Oncogene,6,1313,1318,0001886708,,,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
13,,"p53 mutations, ras mutations, and p53-heat shock 70 protein complexes in human lung carcinoma cell lines",Lehman TA;Bennett WP;Metcalf RA;Welsh JA;Ecker J;Modali RV;Ullrich S;Romano JW;Appella E;Testa JR;,1991,Cancer Res,51,4090,4096,0001855224,,fresh,DNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
14,,Increased expression of mutant forms of p53 oncogene in primary lung cancer,Iggo R;Gatter K;Bartek J;Lane D;Harris AL;,1990,Lancet,335,675,679,0001969059,,frozen,RNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
15,,Mutational hotspot in the p53 gene in human hepatocellular carcinomas,Hsu IC;Metcalf RA;Sun T;Welsh JA;Wang NJ;Harris CC;,1991,Nature,350,427,428,0001849234,,fixed,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
16,,p53 mutations in human lymphoid malignancies: association with Burkitt lymphoma and chronic lymphocytic leukemia,Gaidano G;Ballerini P;Gong JZ;Inghirami G;Neri A;Newcomb EW;Magrath IT;Knowles DM;Dalla-Favera R;,1991,Proc Natl Acad Sci U S A,88,5413,5417,0002052620,,fixed,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
17,,Frequent mutations in the p53 tumor suppressor gene in human leukemia T- cell lines,Cheng J;Haas M;,1990,Mol Cell Biol,10,5502,5509,0002144611,,fresh,RNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
18,18,Identification of p53 gene mutations in bladder cancers and urine samples,Sidransky D;Von Eschenbach A;Tsai YC;Jones P;Summerhayes I;Marshall F;Paul M;Green P;Hamilton SR;Frost P;,1991,Science,252,706,709,0002024123,See ref 96,,DNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
19,7,p53 gene mutations occur in combination with 17p allelic deletions as late events in colorectal tumorigenesis,Baker SJ;Preisinger AC;Jessup JM;Paraskeva C;Markowitz S;Willson JK;Hamilton S;Vogelstein B;,1990,Cancer Res,50,7717,7722,0002253215,,,DNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
20,,p53 mutations in ovarian cancer: a late event?,Mazars R;Pujol P;Maudelonde T;Jeanteur P;Theillet C;,1991,Oncogene,6,1685,1690,0001923532,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
21,,Identification and characterization of a p53 gene mutation in a human osteosarcoma cell line,Romano JW;Ehrhart JC;Duthu A;Kim CM;Appella E;May P;,1989,Oncogene,4,1483,1488,0002531855,,,RNA,none,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
22,,"Mutations in the p53 gene are frequent in primary, resected non-small cell lung cancer. Lung Cancer Study Group",Chiba I;Takahashi T;Nau MM;D'Amico D;Curiel DT;Mitsudomi T;Buchhagen DL;Carbone D;Piantadosi S;Koga H;,1990,Oncogene,5,1603,1610,0001979160,,frozen,RNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
23,,p53: a frequent target for genetic abnormalities in lung cancer,Takahashi T;Nau MM;Chiba I;Birrer MJ;Rosenberg RK;Vinocour M;Levitt M;Pass H;Gazdar AF;Minna JD;,1989,Science,246,491,494,0002554494,,frozen,RNA,none,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
24,,Frequent mutation of the p53 gene in human esophageal cancer,Hollstein MC;Metcalf RA;Welsh JA;Montesano R;Harris CC;,1990,Proc Natl Acad Sci U S A,87,9958,9961,0002263646,,frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
26,,Archival analysis of p53 genetic and protein alterations in Chinese esophageal cancer,Bennett WP;Hollstein MC;He A;Zhu SM;Resau JH;Trump BF;Metcalf RA;Welsh JA;Midgley C;Lane DP;,1991,Oncogene,6,1779,1784,0001923503,,fixed,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
27,,Genetic analysis of human esophageal tumors from two high incidence geographic areas: frequent p53 base substitutions and absence of ras mutations,Hollstein MC;Peri L;Mandard AM;Welsh JA;Montesano R;Metcalf RA;Bak M;Harris CC;,1991,Cancer Res,51,4102,4106,0001855226,,frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
28,,Screening for TP53 mutations in osteosarcomas using constant denaturant gel electrophoresis (CDGE),Smith-Sorensen B;Gebhardt MC;Kloen P;McIntyre J;Aguilar F;Cerutti P;Borresen AL;,1993,Hum Mutat,2,274,285,0008401536,,frozen,DNA,CDGE,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
29,,Detection of frequent p53 gene mutations in primary gastric cancer by cell sorting and polymerase chain reaction single-strand conformation polymorphism analysis,Tamura G;Kihana T;Nomura K;Terada M;Sugimura T;Hirohashi S;,1991,Cancer Res,51,3056,3058,0002032245,,frozen,DNA,SSCP,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
30,,The spectrum of molecular alterations in the evolution of chronic myelocytic leukemia,Ahuja H;Bar-Eli M;Arlin Z;Advani S;Allen SL;Goldman J;Snyder D;Foti A;Cline M;,1991,J Clin Invest,87,2042,2047,0002040694,,frozen,DNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
31,,Loss of chromosome 17p13 sequences and mutation of p53 in human breast carcinomas,Varley JM;Brammar WJ;Lane DP;Swallow JE;Dolan C;Walker RA;,1991,Oncogene,6,413,421,0002011397,,frozen,DNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
32,,Occurrence of p53 gene abnormalities in gastric carcinoma tumors and cell lines,Kim JH;Takahashi T;Chiba I;Park JG;Birrer MJ;Roh JK;De Lee H;Kim JP;Minna JD;Gazdar AF;,1991,J Natl Cancer Inst,83,938,943,0001676761,,frozen,DNA,none,cloned,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
33,33,Human pancreatic carcinomas and cell lines reveal frequent and multiple alterations in the p53 and Rb-1 tumor-suppressor genes,Ruggeri B;Zhang SY;Caamano J;DiRado M;Flynn SD;Klein-Szanto AJ;,1992,Oncogene,7,1503,1511,0001630814,See ref 350 and 1473 for cell lines,frozen,DNA,none,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No
34,,p53 gene mutations in colorectal tumors from patients with familial polyposis coli,Shirasawa S;Urabe K;Yanagawa Y;Toshitani K;Iwama T;Sasazuki T;,1991,Cancer Res,51,2874,2878,0001851662,,frozen,RNA,DGGE,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
35,,The state of the p53 and retinoblastoma genes in human cervical carcinoma cell lines,Scheffner M;Munger K;Byrne JC;Howley PM;,1991,Proc Natl Acad Sci U S A,88,5523,5527,0001648218,,,RNA,,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
36,,Occurrence of point mutations in p53 gene is not increased in patients with acute myeloid leukaemia carrying an activating N-ras mutation,Buhler-Leclerc M;Gratwohl A;Senn HP;,1993,Br J Haematol,84,443,450,0008217795,,frozen,DNA,none,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
37,,Use of the single strand conformation polymorphism technique and PCR to detect p53 gene mutations in small cell lung cancer,Hensel CH;Xiang RH;Sakaguchi AY;Naylor SL;,1991,Oncogene,6,1067,1071,0001648702,,,DNA,SSCP,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
38,,Maintenance of p53 alterations throughout breast cancer progression,Davidoff AM;Kerns BJ;Iglehart JD;Marks JR;,1991,Cancer Res,51,2605,2610,0001850660,,frozen,RNA,IHC,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No
39,,Mutations of the p53 gene in adult T-cell leukemia,Sakashita A;Hattori T;Miller CW;Suzushima H;Asou N;Takatsuki K;Koeffler HP;,1992,Blood,79,477,480,0001730092,,frozen,DNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
40,,p53 in chronic myelogenous leukemia in acute phase,Feinstein E;Cimino G;Gale RP;Alimena G;Berthier R;Kishi K;Goldman J;Zaccaria A;Berrebi A;Canaani E;,1991,Proc Natl Acad Sci U S A,88,6293,6297,0002068108,,,RNA,,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
41,,Expression of p53 in human neuroblastoma- and neuroepithelioma-derived cell lines,Davidoff AM;Pence JC;Shorter NA;Iglehart JD;Marks JR;,1992,Oncogene,7,127,133,0001741160,,,RNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
42,,Mutation of the p53 gene in human acute myelogenous leukemia,Slingerland JM;Minden MD;Benchimol S;,1991,Blood,77,1500,1507,0002009369,,frozen,DNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
43,,High frequency of p53 gene alterations associated with protein overexpression in human squamous cell carcinoma of the larynx,Maestro R;Dolcetti R;Gasparotto D;Doglioni C;Pelucchi S;Barzan L;Grandi E;Boiocchi M;,1992,Oncogene,7,1159,1166,0001594246,,fresh,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
44,,Frequency and diversity of p53 mutations in childhood rhabdomyosarcoma,Felix CA;Kappel CC;Mitsudomi T;Nau MM;Tsokos M;Crouch GD;Nisen PD;Winick NJ;Helman LJ;,1992,Cancer Res,52,2243,2247,0001559227,,frozen,DNA,SSCP,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
45,,Correlation between molecular and clinical events in the evolution of chronic myelocytic leukemia to blast crisis,Foti A;Ahuja HG;Allen SL;Koduru P;Schuster MW;Schulman P;Bar-Eli M;Cline MJ;,1991,Blood,77,2441,2444,0002039825,,frozen,DNA,none,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
46,,Mutations of the p53 gene in human myeloma cell lines (published erratum appears in Oncogene 1993 Apr;8(4):1107),Mazars GR;Portier M;Zhang XG;Jourdan M;Bataille R;Theillet C;Klein B;,1992,Oncogene,7,1015,1018,0001373872,,,DNA,SSCP,direct,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
47,47,"p53 expression is associated with a high degree of tumor DNA aneuploidy and incidence of p53 gene mutation, and is localized tot he aneuploid component in colorectal carcinomas",De Angelis P;Stokke T;Smedshammer L;Lothe RA;Meling GI;Rofstad M;Chen Y;Clausen OPF;,1993,Int J Oncol,3,305,312,21573365,See ref 1134,frozen,DNA,DGGE,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
48,,The spectrum of TP53 mutations in bladder carcinoma,Williamson MP;Elder PA;Knowles MA;,1994,Genes Chromosomes Cancer,9,108,118,0007513540,,frozen,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
49,,p53 gene mutations and protein accumulation in human ovarian cancer,Kupryjanczyk J;Thor AD;Beauchamp R;Merritt V;Edgerton SM;Bell DA;Yandell DW;,1993,Proc Natl Acad Sci U S A,90,4961,4965,0008506342,,frozen,DNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
50,50,High frequency of somatically acquired p53 mutations in small-cell lung cancer cell lines and tumors,D'Amico D;Carbone D;Mitsudomi T;Nau M;Fedorko J;Russell E;Johnson B;Buchhagen D;Bodner S;Phelps R;,1992,Oncogene,7,339,346,0001312696,See ref 166,,DNA,SSCP/Mismatch,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
51,51,Pancreatic adenocarcinomas frequently show p53 gene mutations,Scarpa A;Capelli P;Mukai K;Zamboni G;Oda T;Iacono C;Hirohashi S;,1993,Am J Pathol,142,1534,1543,0008494051,"See ref 871, 687; prevalence for Italian patients in 1564",fixed/frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
52,,p53 mutations in nonastrocytic human brain tumors,Ohgaki H;Eibl RH;Wiestler OD;Yasargil MG;Newcomb EW;Kleihues P;,1991,Cancer Res,51,6202,6205,0001933879,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
53,,Detection and sequencing of p53 gene mutations in bronchial biopsy samples in patients with lung cancer,Mitsudomi T;Lam S;Shirakusa T;Gazdar AF;,1993,Chest,104,362,365,0008393397,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
54,,A role for sunlight in skin cancer: UV-induced p53 mutations in squamous cell carcinoma,Brash DE;Rudolph JA;Simon JA;Lin A;McKenna GJ;Baden HP;Halperin AJ;Ponten J;,1991,Proc Natl Acad Sci U S A,88,10124,10128,0001946433,,fixed,DNA,none,direct,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
55,,Overexpression and mutation of p53 in endometrial carcinoma,Kohler MF;Berchuck A;Davidoff AM;Humphrey PA;Dodge RK;Iglehart JD;Soper JT;Clarke-Pearson DL;Bast RC;Marks JR;,1992,Cancer Res,52,1622,1627,0001540970,,frozen,RNA,none,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No
56,,Infrequent p53 gene mutations in medulloblastomas,Saylors RL;Sidransky D;Friedman HS;Bigner SH;Bigner DD;Vogelstein B;Brodeur GM;,1991,Cancer Res,51,4721,4723,0001873817,,frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
57,,"Status of c-myc, p53 and retinoblastoma genes in human papillomavirus positive and negative squamous cell carcinomas of the anus",Crook T;Wrede D;Tidy J;Scholefield J;Crawford L;Vousden KH;,1991,Oncogene,6,1251,1257,0001650445,,frozen,DNA,none,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No
58,50,p53 gene mutations in non-small-cell lung cancer cell lines and their correlation with the presence of ras mutations and clinical features,Mitsudomi T;Steinberg SM;Nau MM;Carbone D;D'Amico D;Bodner S;Oie HK;Linnoila RI;Mulshine JL;Minna JD;,1992,Oncogene,7,171,180,0001311061,IHC added from ref 166,frozen,RNA,SSCP,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
59,,Absence of p53 mutations in childhood central nervous system primitive neuroectodermal tumors,Raffel C;Thomas GA;Tishler DM;Lassoff S;Allen JC;,1993,Neurosurgery,33,301,305,0008396224,,,RNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
60,,Mutations of p53 and ras genes in radon-associated lung cancer from uranium miners,Vahakangas KH;Samet JM;Metcalf RA;Welsh JA;Bennett WP;Lane DP;Harris CC;,1992,Lancet,339,576,580,0001347094,,fixed,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
61,,The incidence of p53 mutations increases with progression of head and neck cancer,Boyle JO;Hakim J;Koch W;van der Riet P;Hruban RH;Roa RA;Correo R;Eby YJ;Ruppert JM;Sidransky D;,1993,Cancer Res,53,4477,4480,0008402617,,frozen,DNA,none,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
62,,"Mutation of the p53 gene in a differentiated human thyroid carcinoma cell line, but not in primary thyroid tumours",Wright PA;Lemoine NR;Goretzki PE;Wyllie FS;Bond J;Hughes C;Roher HD;Williams ED;Wynford-Thomas D;,1991,Oncogene,6,1693,1697,0001923534,,frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
63,,Analysis of the p53 gene in European hepatocellular carcinomas and hepatoblastomas,Debuire B;Paterlini P;Pontisso P;Basso G;May E;,1993,Oncogene,8,2303,2306,0008393166,,,DNA,,direct,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
64,64,Direct sequencing from touch preparations of human carcinomas: analysis of p53 mutations in breast carcinomas,Kovach JS;McGovern RM;Cassady JD;Swanson SK;Wold LE;Vogelstein B;Sommer SS;,1991,J Natl Cancer Inst,83,1004,1009,0001712853,"See ref 73, 406, 467, 613, 1642",frozen,DNA,,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
65,,Immune response to p53 is dependent upon p53/HSP70 complexes in breast cancers,Davidoff AM;Iglehart JD;Marks JR;,1992,Proc Natl Acad Sci U S A,89,3439,3442,0001373500,,frozen,RNA,IHC,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No
66,66,Constant denaturant gel electrophoresis as a rapid screening technique for p53 mutations,Borresen AL;Hovig E;Smith-Sorensen B;Malkin D;Lystad S;Andersen TI;Nesland JM;Isselbacher KJ;Friend SH;,1991,Proc Natl Acad Sci U S A,88,8405,8409,0001924299,Prevalence in ref 234; see also ref 1764,frozen,DNA,CDGE,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
67,,Expression of p53 and 17p allelic loss in colorectal carcinoma,Cunningham J;Lust JA;Schaid DJ;Bren GD;Carpenter HA;Rizza E;Kovach JS;Thibodeau SN;,1992,Cancer Res,52,1974,1980,0001551126,,frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
68,68,p53 mutations in non-small cell lung cancer in Japan: association between mutations and smoking,Suzuki H;Takahashi T;Kuroishi T;Suyama M;Ariyoshi Y;Takahashi T;Ueda R;,1992,Cancer Res,52,734,736,0001310070,Add data from ref 563,frozen,RNA,none,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
69,,p53 gene mutations in gastric and esophageal cancers,Imazeki F;Omata M;Nose H;Ohto M;Isono K;,1992,Gastroenterology,103,892,896,0001499939,,frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
70,,The p53 gene is very frequently mutated in small-cell lung cancer with a distinct nucleotide substitution pattern,Takahashi T;Takahashi T;Suzuki H;Hida T;Sekido Y;Ariyoshi Y;Ueda R;,1991,Oncogene,6,1775,1778,0001656362,,fresh,RNA,none,cloned,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No
71,,p53 mutations in human malignant gliomas: comparison of loss of heterozygosity with mutation frequency,Frankel RH;Bayona W;Koslow M;Newcomb EW;,1992,Cancer Res,52,1427,1433,0001347252,,frozen,DNA,SSCP,direct,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
72,,p53 mutation and loss of heterozygosity on chromosomes 17 and 10 during human astrocytoma progression,Fults D;Brockmeyer D;Tullous MW;Pedone CA;Cawthon RM;,1992,Cancer Res,52,674,679,0001346255,,,DNA,SSCP,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
73,64,Pattern of p53 gene mutations in breast cancers of women of the midwestern United States,Sommer SS;Cunningham J;McGovern RM;Saitoh S;Schroeder JJ;Wold LE;Kovach JS;,1992,J Natl Cancer Inst,84,246,252,1734086,"See also ref 406, 467,  613 and 1642",frozen,DNA,none,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
74,,High levels of p53 protein expression do not correlate with p53 gene mutations in anaplastic large cell lymphoma,Cesarman E;Inghirami G;Chadburn A;Knowles DM;,1993,Am J Pathol,143,845,856,0008103295,,frozen,DNA,SSCP,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
75,,p53 gene mutations and abnormal retinoblastoma protein in radiation- induced human sarcomas,Brachman DG;Hallahan DE;Beckett MA;Yandell DW;Weichselbaum RR;,1991,Cancer Res,51,6393,6396,0001933904,,frozen,DNA,SSCP,direct,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
76,,Adult T-cell leukemia: structures and expression of the p53 gene,Sugito S;Yamato K;Sameshima Y;Yokota J;Yano S;Miyoshi I;,1991,Int J Cancer,49,880,885,0001959992,,,DNA,SSCP,cloned,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No
77,,Mutations in the p53 gene in primary human breast cancers,Osborne RJ;Merlo GR;Mitsudomi T;Venesio T;Liscia DS;Cappa AP;Chiba I;Takahashi T;Nau MM;Callahan R;,1991,Cancer Res,51,6194,6198,0001682043,,frozen,RNA,SSCP,cloned,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No
